Java HotSpot(TM) 64-Bit Server VM (25.411-b09) for windows-amd64 JRE (1.8.0_411-b09), built on Mar 13 2024 07:26:13 by "java_re" with MS VC++ 17.1 (VS2022)
Memory: 4k page, physical 33403376k(13221148k free), swap 42425356k(8439696k free)
CommandLine flags: -XX:InitialHeapSize=2147483648 -XX:MaxHeapSize=2147483648 -XX:NewRatio=6 -XX:ParallelGCThreads=10 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:-UseAdaptiveSizePolicy -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
1.448: [GC (Allocation Failure) [PSYoungGen: 131870K->5872K(262144K)] 131870K->57080K(2059776K), 0.0213929 secs] [Times: user=0.03 sys=0.00, real=0.02 secs] 
2.791: [GC (Allocation Failure) [PSYoungGen: 184294K->32560K(262144K)] 235502K->83768K(2059776K), 0.0084253 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
5.205: [GC (Allocation Failure) [PSYoungGen: 257102K->11008K(262144K)] 308310K->62216K(2059776K), 0.0025613 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.522: [GC (Allocation Failure) [PSYoungGen: 235573K->26304K(262144K)] 286781K->77512K(2059776K), 0.0022250 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
7.728: [GC (Allocation Failure) [PSYoungGen: 248019K->36552K(262144K)] 299227K->98008K(2059776K), 0.0079791 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
9.698: [GC (Allocation Failure) [PSYoungGen: 261130K->16128K(262144K)] 322586K->128784K(2059776K), 0.0185648 secs] [Times: user=0.03 sys=0.01, real=0.02 secs] 
11.021: [GC (Allocation Failure) [PSYoungGen: 235597K->16072K(262144K)] 348253K->231128K(2059776K), 0.0333865 secs] [Times: user=0.05 sys=0.02, real=0.03 secs] 
12.593: [GC (Allocation Failure) [PSYoungGen: 235547K->16128K(262144K)] 450603K->231184K(2059776K), 0.0019215 secs] [Times: user=0.01 sys=0.00, real=0.00 secs] 
13.901: [GC (Allocation Failure) [PSYoungGen: 237068K->12032K(262144K)] 452124K->227096K(2059776K), 0.0019075 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
15.220: [GC (Allocation Failure) [PSYoungGen: 236616K->27376K(262144K)] 451680K->242440K(2059776K), 0.0021762 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
17.193: [GC (Allocation Failure) [PSYoungGen: 180288K->26336K(262144K)] 395352K->292600K(2059776K), 0.0194792 secs] [Times: user=0.02 sys=0.00, real=0.02 secs] 
18.527: [GC (Allocation Failure) [PSYoungGen: 204846K->31440K(262144K)] 471110K->318192K(2059776K), 0.0082535 secs] [Times: user=0.02 sys=0.00, real=0.01 secs] 
19.964: [GC (Allocation Failure) [PSYoungGen: 209934K->5856K(262144K)] 496686K->292608K(2059776K), 0.0022402 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
21.274: [GC (Allocation Failure) [PSYoungGen: 215077K->16064K(262144K)] 501829K->405216K(2059776K), 0.0369319 secs] [Times: user=0.05 sys=0.00, real=0.04 secs] 
22.617: [GC (Allocation Failure) [PSYoungGen: 235533K->22256K(262144K)] 624686K->411408K(2059776K), 0.0024002 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
24.143: [GC (Allocation Failure) [PSYoungGen: 236611K->20608K(262144K)] 625763K->410388K(2059776K), 0.0031055 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
25.459: [GC (Allocation Failure) [PSYoungGen: 240087K->25728K(262144K)] 629867K->415508K(2059776K), 0.0026831 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
26.774: [GC (Allocation Failure) [PSYoungGen: 245209K->35936K(262144K)] 634990K->425732K(2059776K), 0.0036546 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
28.636: [GC (Allocation Failure) [PSYoungGen: 200049K->5248K(262144K)] 589845K->497452K(2059776K), 0.0195565 secs] [Times: user=0.00 sys=0.01, real=0.02 secs] 
29.971: [GC (Allocation Failure) [PSYoungGen: 183757K->30848K(262144K)] 675961K->523068K(2059776K), 0.0030955 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
31.496: [GC (Allocation Failure) [PSYoungGen: 214461K->5216K(262144K)] 706682K->497444K(2059776K), 0.0034938 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
32.818: [GC (Allocation Failure) [PSYoungGen: 183718K->26848K(262144K)] 675946K->519076K(2059776K), 0.0033228 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
34.127: [GC (Allocation Failure) [PSYoungGen: 236074K->27808K(262144K)] 728303K->520044K(2059776K), 0.0033491 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
35.657: [GC (Allocation Failure) [PSYoungGen: 252401K->30848K(262144K)] 744637K->523116K(2059776K), 0.0035984 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
