Java HotSpot(TM) 64-Bit Server VM (25.411-b09) for windows-amd64 JRE (1.8.0_411-b09), built on Mar 13 2024 07:26:13 by "java_re" with MS VC++ 17.1 (VS2022)
Memory: 4k page, physical 33403376k(16723896k free), swap 35500528k(11476036k free)
CommandLine flags: -XX:InitialHeapSize=1073741824 -XX:MaxHeapSize=1073741824 -XX:ParallelGCThreads=2 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
2.301: [GC (Allocation Failure) [PSYoungGen: 261366K->11848K(305664K)] 261366K->11856K(1005056K), 0.0030841 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.912: [GC (Allocation Failure) [PSYoungGen: 272986K->10776K(305664K)] 272994K->10784K(1005056K), 0.0025241 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.767: [GC (Allocation Failure) [PSYoungGen: 266880K->31288K(305664K)] 266888K->31296K(1005056K), 0.0048703 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
8.409: [GC (Allocation Failure) [PSYoungGen: 259214K->21032K(305664K)] 259222K->21048K(1005056K), 0.0090411 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
9.843: [GC (Allocation Failure) [PSYoungGen: 251486K->26168K(305664K)] 251502K->77384K(1005056K), 0.0166549 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
11.279: [GC (Allocation Failure) [PSYoungGen: 256621K->31256K(307200K)] 307837K->184872K(1006592K), 0.0338942 secs] [Times: user=0.00 sys=0.02, real=0.03 secs] 
12.837: [GC (Allocation Failure) [PSYoungGen: 294428K->5152K(279040K)] 448044K->210508K(978432K), 0.0158829 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
14.288: [GC (Allocation Failure) [PSYoungGen: 235815K->16416K(311296K)] 441171K->272980K(1010688K), 0.0306349 secs] [Times: user=0.00 sys=0.00, real=0.03 secs] 
17.051: [GC (Allocation Failure) [PSYoungGen: 247043K->25632K(309760K)] 503607K->302676K(1009152K), 0.0081093 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
18.492: [GC (Allocation Failure) [PSYoungGen: 256263K->30720K(306688K)] 533307K->328252K(1006080K), 0.0151457 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
20.034: [GC (Allocation Failure) [PSYoungGen: 261283K->0K(268800K)] 558816K->348732K(968192K), 0.0199775 secs] [Times: user=0.00 sys=0.00, real=0.02 secs] 
21.479: [GC (Allocation Failure) [PSYoungGen: 230566K->5120K(307200K)] 579298K->507452K(1006592K), 0.0539673 secs] [Times: user=0.01 sys=0.00, real=0.05 secs] 
