Java HotSpot(TM) 64-Bit Server VM (25.411-b09) for windows-amd64 JRE (1.8.0_411-b09), built on Mar 13 2024 07:26:13 by "java_re" with MS VC++ 17.1 (VS2022)
Memory: 4k page, physical 33403376k(14805548k free), swap 38794768k(7677712k free)
CommandLine flags: -XX:InitialHeapSize=1073741824 -XX:MaxHeapSize=1073741824 -XX:NewRatio=9 -XX:ParallelGCThreads=6 -XX:+PrintGC -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:SurvivorRatio=1 -XX:-UseAdaptiveSizePolicy -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:-UseLargePagesIndividualAllocation -XX:+UseParallelGC 
0.817: [GC (Allocation Failure) [PSYoungGen: 29737K->10976K(69632K)] 29737K->10984K(1013760K), 0.0024532 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
1.847: [GC (Allocation Failure) [PSYoungGen: 44424K->11936K(69632K)] 218512K->186032K(1013760K), 0.0027095 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
2.392: [GC (Allocation Failure) [PSYoungGen: 38222K->16984K(69632K)] 212318K->191080K(1013760K), 0.0023008 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
3.421: [GC (Allocation Failure) [PSYoungGen: 50435K->18128K(69632K)] 398611K->366304K(1013760K), 0.0027873 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
4.622: [GC (Allocation Failure) [PSYoungGen: 50560K->1592K(69632K)] 398736K->349768K(1013760K), 0.0011383 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
5.277: [GC (Allocation Failure) [PSYoungGen: 32997K->10872K(69632K)] 381173K->359048K(1013760K), 0.0011566 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.308: [GC (Allocation Failure) [PSYoungGen: 44324K->26232K(69632K)] 566580K->548488K(1013760K), 0.0047039 secs] [Times: user=0.00 sys=0.00, real=0.00 secs] 
6.852: [GC (Allocation Failure) [PSYoungGen: 57640K->31440K(69632K)] 579896K->553696K(1013760K), 0.0047657 secs] [Times: user=0.00 sys=0.00, real=0.01 secs] 
